C8257561, 	Croger,        	 DE,    	 14220
C9093150,   Alberto's Son's,       	HI,       17190
C3850344,   Smith's,   PA,   14071
C8291020, 	Privatz,         AK,       	15285
C1758389, U-Krop,   	IN,   	00072
C6456758,    	 Ferris Teeter,   AZ, 54108
C7615775,   Food Kitty, WY,       	21189
C7699878,     	W-Mart Supercenter,       VA,     73463
C8687355,       Privatz,       	TN,     12793
C1657233,      	 U-Krop,   	IL,     	88295
C1019149,     	Food Circle,     NV,     23856
C8254034, Ferris Teeter,        	 AZ,      	 66430
C4044028,       	Moss's,     	WY,    	 59993
C6162647,     Hole Foods, 	ND, 	03115
C1805477,        	 Martino's,      	 OR,     11916
C5817265,      	 Wigmann's,   AZ,    	 70949
C0575174,       Martino's,         DE,   30935
C8847734, 	Ferris Teeter,       	HI,      	 18337
C5035475,     Food Circle,        	 VA,       32408
C8716997,     	Moss's,  	 WA,      	 21152
C4564492,   Ferris Teeter,   WY,   20099
C2873868, W-Mart Supercenter,      	 MA, 68835
C3263902,  	 Food Kitty,   HI,        	 52264
C2620861,   	Hole Foods,       ND,   	31449
C7953545,     Food Circle,       GA,        	 79393
C5022084,   Martino's,     VA,     	67987
C2151140,       W-Mart Supercenter,    	 NV,     51041
C4859537,     Food Circle,    	 SD,       32192
C9465519,       Croger, 	TX,     34709
C2267209,      	 Wigmann's,       OR,         29546
C9643524,   	Super Food, DE,   15064
C5849398,        	 Privatz, 	IL,        	 00148
C8789368,       Croger,      	 AK,     24673
C3002610,        	 Food Kitty,         CA,       70419
C2346119,        	 Privatz,   WA,       82098
C2926632,   Croger,  	 MA,       94811
C6134689,   Martino's,   DC,    	 33706
C4765458,   	Croger,    	 TN,      	 55343
C0338308,        	 Ferris Teeter,      	 WA, 86912
C9638885, Privatz, ND,       	97238
C3676646,       Super Food,     TN,     80796
C2034054,       W-Mart Supercenter,     FL,   38623
C8907734,    	 Martino's,    	 MO,     16359
C7691917,       	Martino's,       MS,     12331
C6439598,       Martino's, MS,   36279
C7358146,  	 Food Circle,   	IN,     	33649
C0880479, Super Food,    	 MA, 15555
C5158774,  	 Privatz,     DE,       62369
C6583102,        	 Privatz,       MS,   48424
C8976494, Ferris Teeter,   FL,         50825
C3071634,     Ferris Teeter,   DC,   65876
C0907898, Super Food,     AL, 77811
C8453229,       Food Kitty,         WA,     11620
C9576554,       	Alberto's Son's,         MO,       	33872
C3900927,  	 W-Mart Supercenter,       TX, 31198
C4671740, Food Circle,       SD,  	 88266
C6422330,       W-Mart Supercenter,       CA, 	79338
C8225397,     	Martino's,     NV,     52031
C9001017,  	 Food Kitty,    	 WY,       11027
C7756694,   Hole Foods,       	MS,  	 60659
C3091100,   	Food Kitty,       WA,     21682
C5370280,       U-Krop,        	 AL,       90276
C5324566, U-Krop, 	AL,         18625
C9421123,        	 Croger,       DC,     30867
